i01	V(vhd)
-5.000000000000000e-004	6.098981e-001
-4.990000000000000e-004	6.098996e-001
-4.980000000000000e-004	6.099012e-001
-4.969999999999999e-004	6.099027e-001
-4.959999999999999e-004	6.099042e-001
-4.949999999999999e-004	6.099058e-001
-4.939999999999999e-004	6.099073e-001
-4.929999999999998e-004	6.099089e-001
-4.919999999999998e-004	6.099104e-001
-4.909999999999998e-004	6.099119e-001
-4.899999999999998e-004	6.099135e-001
-4.889999999999997e-004	6.099150e-001
-4.879999999999997e-004	6.099166e-001
-4.869999999999997e-004	6.099181e-001
-4.859999999999997e-004	6.099196e-001
-4.849999999999997e-004	6.099212e-001
-4.839999999999996e-004	6.099227e-001
-4.829999999999996e-004	6.099243e-001
-4.819999999999996e-004	6.099258e-001
-4.809999999999996e-004	6.099273e-001
-4.799999999999995e-004	6.099288e-001
-4.789999999999995e-004	6.099304e-001
-4.779999999999995e-004	6.099319e-001
-4.769999999999995e-004	6.099335e-001
-4.759999999999994e-004	6.099350e-001
-4.749999999999994e-004	6.099365e-001
-4.739999999999994e-004	6.099381e-001
-4.729999999999994e-004	6.099396e-001
-4.719999999999993e-004	6.099411e-001
-4.709999999999993e-004	6.099427e-001
-4.699999999999993e-004	6.099442e-001
-4.689999999999993e-004	6.099458e-001
-4.679999999999992e-004	6.099473e-001
-4.669999999999992e-004	6.099488e-001
-4.659999999999992e-004	6.099504e-001
-4.649999999999992e-004	6.099519e-001
-4.639999999999991e-004	6.099535e-001
-4.629999999999991e-004	6.099550e-001
-4.619999999999991e-004	6.099565e-001
-4.609999999999991e-004	6.099581e-001
-4.599999999999990e-004	6.099596e-001
-4.589999999999990e-004	6.099612e-001
-4.579999999999990e-004	6.099626e-001
-4.569999999999990e-004	6.099642e-001
-4.559999999999989e-004	6.099657e-001
-4.549999999999989e-004	6.099673e-001
-4.539999999999989e-004	6.099688e-001
-4.529999999999989e-004	6.099703e-001
-4.519999999999988e-004	6.099719e-001
-4.509999999999988e-004	6.099734e-001
-4.499999999999988e-004	6.099750e-001
-4.489999999999988e-004	6.099765e-001
-4.479999999999988e-004	6.099780e-001
-4.469999999999987e-004	6.099796e-001
-4.459999999999987e-004	6.099811e-001
-4.449999999999987e-004	6.099826e-001
-4.439999999999987e-004	6.099842e-001
