vs	V(vo)
-2.000000000000000e+000	-9.870722e-001
-1.998000000000000e+000	-9.869977e-001
-1.996000000000000e+000	-9.869309e-001
-1.994000000000000e+000	-9.868641e-001
-1.992000000000000e+000	-9.867974e-001
-1.990000000000000e+000	-9.867306e-001
-1.988000000000000e+000	-9.866638e-001
-1.986000000000000e+000	-9.865969e-001
-1.984000000000000e+000	-9.865301e-001
-1.982000000000000e+000	-9.864632e-001
-1.980000000000000e+000	-9.863964e-001
-1.978000000000000e+000	-9.863295e-001
-1.976000000000000e+000	-9.862626e-001
-1.974000000000000e+000	-9.861957e-001
-1.972000000000000e+000	-9.861287e-001
-1.970000000000000e+000	-9.860618e-001
-1.968000000000000e+000	-9.859948e-001
-1.966000000000000e+000	-9.859278e-001
-1.964000000000000e+000	-9.858608e-001
-1.962000000000000e+000	-9.857938e-001
-1.960000000000000e+000	-9.857267e-001
-1.958000000000000e+000	-9.856597e-001
-1.956000000000000e+000	-9.855925e-001
-1.954000000000000e+000	-9.855255e-001
-1.952000000000000e+000	-9.854584e-001
-1.950000000000000e+000	-9.853913e-001
-1.948000000000000e+000	-9.853241e-001
-1.946000000000000e+000	-9.852569e-001
-1.944000000000000e+000	-9.851897e-001
-1.942000000000000e+000	-9.851225e-001
-1.940000000000000e+000	-9.850553e-001
-1.938000000000000e+000	-9.849881e-001
-1.936000000000000e+000	-9.849208e-001
-1.934000000000000e+000	-9.848536e-001
-1.932000000000000e+000	-9.847863e-001
-1.930000000000000e+000	-9.847189e-001
-1.928000000000000e+000	-9.846516e-001
-1.926000000000000e+000	-9.845843e-001
-1.924000000000000e+000	-9.845169e-001
-1.922000000000000e+000	-9.844495e-001
-1.920000000000000e+000	-9.843822e-001
-1.918000000000000e+000	-9.843147e-001
-1.916000000000000e+000	-9.842473e-001
-1.914000000000000e+000	-9.841798e-001
-1.912000000000000e+000	-9.841123e-001
-1.910000000000000e+000	-9.840448e-001
-1.908000000000000e+000	-9.839773e-001
-1.906000000000000e+000	-9.839098e-001
-1.904000000000000e+000	-9.838423e-001
-1.902000000000000e+000	-9.837747e-001
-1.900000000000000e+000	-9.837071e-001
-1.898000000000000e+000	-9.836395e-001
-1.896000000000000e+000	-9.835718e-001
-1.894000000000000e+000	-9.835042e-001
-1.892000000000000e+000	-9.834365e-001
-1.890000000000000e+000	-9.833688e-001
-1.888000000000000e+000	-9.833011e-001
-1.886000000000000e+000	-9.832334e-001
-1.884000000000000e+000	-9.831656e-001
-1.882000000000000e+000	-9.830979e-001
-1.880000000000000e+000	-9.830301e-001
-1.878000000000000e+000	-9.829623e-001
-1.876000000000000e+000	-9.828944e-001
-1.874000000000000e+000	-9.828266e-001
-1.872000000000000e+000	-9.827587e-001
-1.870000000000000e+000	-9.826908e-001
-1.868000000000000e+000	-9.826229e-001
-1.866000000000000e+000	-9.825550e-001
-1.864000000000000e+000	-9.824870e-001
-1.862000000000000e+000	-9.824190e-001
-1.860000000000000e+000	-9.823510e-001
-1.858000000000000e+000	-9.822830e-001
-1.856000000000000e+000	-9.822150e-001
-1.854000000000000e+000	-9.821469e-001
-1.852000000000000e+000	-9.820788e-001
-1.850000000000000e+000	-9.820107e-001
-1.848000000000000e+000	-9.819426e-001
-1.846000000000000e+000	-9.818745e-001
-1.844000000000000e+000	-9.818063e-001
-1.842000000000000e+000	-9.817381e-001
-1.840000000000000e+000	-9.816698e-001
-1.838000000000000e+000	-9.816017e-001
-1.836000000000000e+000	-9.815333e-001
-1.834000000000000e+000	-9.814651e-001
-1.832000000000000e+000	-9.813968e-001
-1.830000000000000e+000	-9.813284e-001
-1.828000000000000e+000	-9.812601e-001
-1.826000000000000e+000	-9.811918e-001
-1.824000000000000e+000	-9.811233e-001
-1.822000000000000e+000	-9.810549e-001
-1.820000000000000e+000	-9.809865e-001
-1.818000000000000e+000	-9.809180e-001
-1.816000000000000e+000	-9.808496e-001
-1.814000000000000e+000	-9.807810e-001
-1.812000000000000e+000	-9.807125e-001
-1.810000000000000e+000	-9.806439e-001
-1.808000000000000e+000	-9.805753e-001
-1.806000000000000e+000	-9.805067e-001
-1.804000000000000e+000	-9.804381e-001
-1.802000000000000e+000	-9.803694e-001
-1.800000000000000e+000	-9.803008e-001
-1.798000000000000e+000	-9.802321e-001
-1.796000000000000e+000	-9.801633e-001
-1.794000000000000e+000	-9.800946e-001
-1.792000000000000e+000	-9.800258e-001
-1.790000000000000e+000	-9.799570e-001
-1.788000000000000e+000	-9.798882e-001
-1.786000000000000e+000	-9.798194e-001
-1.784000000000000e+000	-9.797505e-001
-1.782000000000000e+000	-9.796816e-001
-1.780000000000000e+000	-9.796126e-001
-1.778000000000000e+000	-9.795437e-001
-1.776000000000000e+000	-9.794747e-001
-1.774000000000000e+000	-9.794058e-001
-1.772000000000000e+000	-9.793367e-001
-1.770000000000000e+000	-9.792677e-001
-1.768000000000000e+000	-9.791986e-001
-1.766000000000000e+000	-9.791295e-001
-1.764000000000000e+000	-9.790604e-001
-1.762000000000000e+000	-9.789912e-001
-1.760000000000000e+000	-9.789220e-001
-1.758000000000000e+000	-9.788527e-001
-1.756000000000000e+000	-9.787835e-001
-1.754000000000000e+000	-9.787143e-001
-1.752000000000000e+000	-9.786450e-001
-1.750000000000000e+000	-9.785756e-001
-1.748000000000000e+000	-9.785063e-001
-1.746000000000000e+000	-9.784369e-001
-1.744000000000000e+000	-9.783675e-001
-1.742000000000000e+000	-9.782981e-001
-1.740000000000000e+000	-9.782286e-001
-1.738000000000000e+000	-9.781591e-001
-1.736000000000000e+000	-9.780896e-001
-1.734000000000000e+000	-9.780201e-001
-1.732000000000000e+000	-9.779505e-001
-1.730000000000000e+000	-9.778809e-001
-1.728000000000000e+000	-9.778113e-001
-1.726000000000000e+000	-9.777417e-001
-1.724000000000000e+000	-9.776719e-001
-1.722000000000000e+000	-9.776022e-001
-1.720000000000000e+000	-9.775325e-001
-1.718000000000000e+000	-9.774627e-001
-1.716000000000000e+000	-9.773929e-001
-1.714000000000000e+000	-9.773231e-001
-1.712000000000000e+000	-9.772532e-001
-1.710000000000000e+000	-9.771833e-001
-1.708000000000000e+000	-9.771134e-001
-1.706000000000000e+000	-9.770434e-001
-1.704000000000000e+000	-9.769734e-001
-1.702000000000000e+000	-9.769034e-001
-1.700000000000000e+000	-9.768333e-001
-1.698000000000000e+000	-9.767633e-001
-1.696000000000000e+000	-9.766932e-001
-1.694000000000000e+000	-9.766231e-001
-1.692000000000000e+000	-9.765528e-001
-1.690000000000000e+000	-9.764826e-001
-1.688000000000000e+000	-9.764124e-001
-1.686000000000000e+000	-9.763421e-001
-1.684000000000000e+000	-9.762718e-001
-1.682000000000000e+000	-9.762015e-001
-1.680000000000000e+000	-9.761311e-001
-1.678000000000000e+000	-9.760607e-001
-1.676000000000000e+000	-9.759903e-001
-1.674000000000000e+000	-9.759198e-001
-1.672000000000000e+000	-9.758493e-001
-1.670000000000000e+000	-9.757788e-001
-1.668000000000000e+000	-9.757082e-001
-1.666000000000000e+000	-9.756376e-001
-1.664000000000000e+000	-9.755670e-001
-1.662000000000000e+000	-9.754963e-001
-1.660000000000000e+000	-9.754256e-001
-1.658000000000000e+000	-9.753549e-001
-1.656000000000000e+000	-9.752841e-001
-1.654000000000000e+000	-9.752133e-001
-1.652000000000000e+000	-9.751424e-001
-1.650000000000000e+000	-9.750715e-001
-1.648000000000000e+000	-9.750006e-001
-1.646000000000000e+000	-9.749297e-001
-1.644000000000000e+000	-9.748587e-001
-1.642000000000000e+000	-9.747877e-001
-1.640000000000000e+000	-9.747166e-001
-1.638000000000000e+000	-9.746456e-001
-1.636000000000000e+000	-9.745744e-001
-1.634000000000000e+000	-9.745032e-001
-1.632000000000000e+000	-9.744320e-001
-1.630000000000000e+000	-9.743608e-001
-1.628000000000000e+000	-9.742895e-001
-1.626000000000000e+000	-9.742181e-001
-1.624000000000000e+000	-9.741468e-001
-1.622000000000000e+000	-9.740754e-001
-1.620000000000000e+000	-9.740040e-001
-1.618000000000000e+000	-9.739325e-001
-1.616000000000000e+000	-9.738610e-001
-1.614000000000000e+000	-9.737894e-001
-1.612000000000000e+000	-9.737178e-001
-1.610000000000000e+000	-9.736462e-001
-1.608000000000000e+000	-9.735745e-001
-1.606000000000000e+000	-9.735028e-001
-1.604000000000000e+000	-9.734311e-001
-1.602000000000000e+000	-9.733592e-001
-1.600000000000000e+000	-9.732874e-001
-1.598000000000000e+000	-9.732155e-001
-1.596000000000000e+000	-9.731436e-001
-1.594000000000000e+000	-9.730716e-001
-1.592000000000000e+000	-9.729996e-001
-1.590000000000000e+000	-9.729276e-001
-1.588000000000000e+000	-9.728555e-001
-1.586000000000000e+000	-9.727833e-001
-1.584000000000000e+000	-9.727112e-001
-1.582000000000000e+000	-9.726390e-001
-1.580000000000000e+000	-9.725667e-001
-1.578000000000000e+000	-9.724944e-001
-1.576000000000000e+000	-9.724221e-001
-1.574000000000000e+000	-9.723496e-001
-1.572000000000000e+000	-9.722772e-001
-1.570000000000000e+000	-9.722047e-001
-1.568000000000000e+000	-9.721322e-001
-1.566000000000000e+000	-9.720596e-001
-1.564000000000000e+000	-9.719869e-001
-1.562000000000000e+000	-9.719143e-001
-1.560000000000000e+000	-9.718416e-001
-1.558000000000000e+000	-9.717689e-001
-1.556000000000000e+000	-9.716960e-001
-1.554000000000000e+000	-9.716232e-001
-1.552000000000000e+000	-9.715502e-001
-1.550000000000000e+000	-9.714773e-001
-1.548000000000000e+000	-9.714043e-001
-1.546000000000000e+000	-9.713312e-001
-1.544000000000000e+000	-9.712582e-001
-1.542000000000000e+000	-9.711850e-001
-1.540000000000000e+000	-9.711118e-001
-1.538000000000000e+000	-9.710386e-001
-1.536000000000000e+000	-9.709653e-001
-1.534000000000000e+000	-9.708919e-001
-1.532000000000000e+000	-9.708185e-001
-1.530000000000000e+000	-9.707450e-001
-1.528000000000000e+000	-9.706715e-001
-1.526000000000000e+000	-9.705980e-001
-1.524000000000000e+000	-9.705244e-001
-1.522000000000000e+000	-9.704507e-001
-1.520000000000000e+000	-9.703770e-001
-1.518000000000000e+000	-9.703032e-001
-1.516000000000000e+000	-9.702294e-001
-1.514000000000000e+000	-9.701555e-001
-1.512000000000000e+000	-9.700816e-001
-1.510000000000000e+000	-9.700076e-001
-1.508000000000000e+000	-9.699336e-001
-1.506000000000000e+000	-9.698595e-001
-1.504000000000000e+000	-9.697853e-001
-1.502000000000000e+000	-9.697111e-001
-1.500000000000000e+000	-9.696369e-001
-1.498000000000000e+000	-9.695625e-001
-1.496000000000000e+000	-9.694881e-001
-1.494000000000000e+000	-9.694137e-001
-1.492000000000000e+000	-9.693392e-001
-1.490000000000000e+000	-9.692646e-001
-1.488000000000000e+000	-9.691900e-001
-1.486000000000000e+000	-9.691153e-001
-1.484000000000000e+000	-9.690406e-001
-1.482000000000000e+000	-9.689658e-001
