i1	V(vo)
-5.000000000000000e-004	2.444252e+000
-4.990000000000000e-004	2.444315e+000
-4.980000000000000e-004	2.444378e+000
-4.969999999999999e-004	2.444440e+000
-4.959999999999999e-004	2.444503e+000
-4.949999999999999e-004	2.444565e+000
-4.939999999999999e-004	2.444628e+000
-4.929999999999998e-004	2.444690e+000
-4.919999999999998e-004	2.444752e+000
-4.909999999999998e-004	2.444815e+000
-4.899999999999998e-004	2.444878e+000
-4.889999999999997e-004	2.444940e+000
-4.879999999999997e-004	2.445003e+000
-4.869999999999997e-004	2.445065e+000
-4.859999999999997e-004	2.445127e+000
-4.849999999999997e-004	2.445190e+000
-4.839999999999996e-004	2.445252e+000
-4.829999999999996e-004	2.445315e+000
-4.819999999999996e-004	2.445377e+000
-4.809999999999996e-004	2.445440e+000
-4.799999999999995e-004	2.445503e+000
-4.789999999999995e-004	2.445565e+000
-4.779999999999995e-004	2.445627e+000
-4.769999999999995e-004	2.445690e+000
-4.759999999999994e-004	2.445752e+000
-4.749999999999994e-004	2.445815e+000
-4.739999999999994e-004	2.445877e+000
-4.729999999999994e-004	2.445940e+000
-4.719999999999993e-004	2.446002e+000
-4.709999999999993e-004	2.446065e+000
-4.699999999999993e-004	2.446127e+000
-4.689999999999993e-004	2.446190e+000
-4.679999999999992e-004	2.446252e+000
-4.669999999999992e-004	2.446315e+000
-4.659999999999992e-004	2.446377e+000
-4.649999999999992e-004	2.446440e+000
-4.639999999999991e-004	2.446502e+000
-4.629999999999991e-004	2.446565e+000
-4.619999999999991e-004	2.446627e+000
-4.609999999999991e-004	2.446690e+000
-4.599999999999990e-004	2.446752e+000
-4.589999999999990e-004	2.446815e+000
-4.579999999999990e-004	2.446877e+000
-4.569999999999990e-004	2.446940e+000
-4.559999999999989e-004	2.447002e+000
-4.549999999999989e-004	2.447065e+000
-4.539999999999989e-004	2.447127e+000
-4.529999999999989e-004	2.447190e+000
-4.519999999999988e-004	2.447252e+000
-4.509999999999988e-004	2.447315e+000
-4.499999999999988e-004	2.447377e+000
-4.489999999999988e-004	2.447440e+000
-4.479999999999988e-004	2.447502e+000
-4.469999999999987e-004	2.447565e+000
-4.459999999999987e-004	2.447627e+000
-4.449999999999987e-004	2.447690e+000
